ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),FIRE_SIZE
0.09,0.05,318.0,13.3,57.3,83.0,2.5,59.3,61.4,0.5
0.24,0.0,533.0,11.1,69.5,45.0,7.7,185.3,68.3,0.01
0.01,0.0,97.0,14.0,55.6,93.0,3.0,72.3,64.8,0.01
0.05,0.01,203.0,13.6,58.3,82.0,4.8,115.7,64.4,0.1
0.12,0.03,415.0,10.9,52.9,79.0,3.4,81.6,59.1,0.1
0.04,0.03,175.0,12.9,55.0,87.0,7.4,178.6,60.5,8.0
0.22,0.0,653.0,10.6,61.1,58.0,4.9,118.2,62.8,0.1
0.28,0.0,639.0,8.6,72.7,31.0,6.8,162.9,68.3,0.1
0.25,0.0,632.0,10.2,67.6,44.0,4.5,107.2,67.1,0.01
0.3,0.0,670.0,7.9,76.7,25.0,5.4,128.5,68.2,0.02
0.29,0.0,705.0,6.3,73.3,23.0,4.1,99.5,64.3,0.25
0.29,0.0,705.0,6.3,73.3,23.0,4.1,99.5,64.3,0.25
0.3,0.0,658.0,6.8,79.9,20.0,4.7,111.6,70.1,1.0
0.28,0.0,605.0,5.8,74.5,20.0,4.6,110.7,63.0,5.0
0.27,0.0,613.0,10.3,70.3,41.0,4.8,114.2,70.8,2.0
0.16,0.03,564.0,13.0,55.5,86.0,3.8,91.8,63.0,0.01
0.34,0.0,660.0,9.2,82.5,24.0,7.1,169.4,71.1,80.0
0.18,0.0,635.0,12.0,56.4,77.0,2.8,67.5,66.2,0.4
0.34,0.0,660.0,9.2,82.5,24.0,7.1,169.4,71.1,0.25
0.3,0.0,635.0,11.9,79.0,35.0,6.3,150.4,71.7,4.0
0.2,0.0,576.0,14.7,64.8,70.0,5.5,131.1,72.5,2.0
0.19,0.0,625.0,13.5,59.6,78.0,3.2,76.7,66.0,0.25
0.27,0.0,749.0,14.7,70.7,58.0,5.2,125.4,73.7,0.01
0.19,0.0,815.0,11.4,61.6,61.0,8.3,200.0,65.3,0.01
0.17,0.0,462.0,10.6,59.6,61.0,6.8,162.4,64.6,0.1
0.17,0.0,462.0,10.6,59.6,61.0,6.8,162.4,64.6,0.01
0.15,0.0,534.0,9.8,51.5,75.0,3.9,92.5,59.6,2.0
0.13,0.0,425.0,13.3,57.7,81.0,5.0,119.4,70.0,1.0
0.14,0.0,500.0,10.6,54.4,74.0,5.0,120.6,67.23368450150501,0.12
0.15,0.0,459.0,10.8,56.6,69.0,7.2,172.4,64.6,0.5
0.21,0.05,592.0,10.6,56.1,69.0,11.8,282.2,61.5,0.01
0.26,0.0,675.0,11.4,66.2,52.0,8.3,199.0,71.5,0.25
0.07,0.15,270.0,10.8,53.5,77.0,4.5,106.9,67.23368450150501,0.11
0.18,0.0,492.0,9.5,56.0,62.0,10.0,239.0,63.7,3.6
0.1,0.0,378.0,10.5,54.0,74.0,3.3,79.7,66.3,0.01
0.04,0.16,222.0,11.0,50.5,88.0,2.6,63.5,63.8,0.25
0.06,0.44,253.0,10.8,50.4,87.0,4.6,109.6,61.1,2.0
0.09,0.22,506.0,4.5,30.2,78.0,4.6,111.2,48.3,0.3
0.11,0.0,383.0,11.3,56.9,72.0,4.2,102.0,61.7,1.0
0.18,0.0,603.0,12.8,59.3,74.0,3.1,73.6,67.0,0.1
0.22,0.0,671.0,13.4,62.6,69.0,4.1,97.4,65.3,0.1
0.2,0.0,586.0,14.4,61.8,77.0,4.0,97.1,69.3,0.1
0.33,0.0,681.0,8.6,79.3,25.0,6.8,162.1,70.4,0.12
0.31,0.0,694.0,5.8,63.8,29.0,10.8,260.2,61.9,0.1
0.23,0.0,674.0,11.5,62.5,60.0,4.7,113.2,66.4,1.0
0.2,0.0,584.0,9.9,59.3,58.0,7.0,168.0,63.8,0.1
0.19,0.0,679.0,3.5,43.3,37.0,4.1,99.5,52.0,0.1
0.06,0.31,241.0,10.0,55.1,67.0,3.7,88.7,64.9,0.01
0.19,0.0,442.0,10.9,66.7,49.0,7.0,167.0,71.0,0.01
0.11,0.09,484.0,4.4,33.2,69.0,5.0,119.1,50.6,0.1
0.11,0.09,484.0,4.4,33.2,69.0,5.0,119.1,50.6,0.1
0.06,0.31,241.0,10.0,55.1,67.0,3.7,88.7,64.9,0.01
0.08,0.1,0.0,11.7,49.3,98.0,1.5,35.8,61.6,1.0
0.07,0.29,300.0,12.2,54.9,83.0,3.5,84.5,60.7,0.1
0.16,0.0,547.0,11.2,52.3,83.0,5.4,130.7,63.4,0.04
0.11,0.0,356.0,11.9,57.5,73.0,5.9,141.7,61.6,0.1
0.23,0.0,652.0,12.3,63.1,62.0,5.3,126.9,67.7,0.1
0.2,0.0,682.0,11.7,56.2,75.0,5.0,118.9,67.23368450150501,0.1
0.2,0.0,682.0,11.7,56.2,75.0,5.0,118.9,67.23368450150501,0.12
0.14,0.0,582.0,8.2,42.2,90.0,4.9,116.8,47.7,0.1
0.11,0.0,400.0,13.1,55.8,86.0,2.9,70.1,64.2,0.01
0.15,0.0,492.0,13.6,59.3,79.0,4.7,112.6,67.5,1.0
0.13,0.04,503.0,9.4,46.4,88.0,5.3,126.4,48.4,0.1
0.17,0.0,561.0,10.6,58.0,65.0,3.2,77.2,63.6,0.1
0.18,0.0,694.0,4.6,39.4,56.0,3.8,91.9,50.5,51000.0
0.18,0.0,694.0,4.6,39.4,56.0,3.8,91.9,50.5,31359.0
0.32,0.0,679.0,10.1,72.4,37.0,10.3,248.4,69.5,0.2
0.32,0.0,679.0,10.1,72.4,37.0,10.3,248.4,69.5,0.2
0.19,0.0,576.0,13.6,61.2,73.0,4.1,98.0,71.3,1.0
0.19,0.0,576.0,13.6,61.2,73.0,4.1,98.0,71.3,1.0
0.3,0.0,683.0,11.0,74.1,38.0,8.3,199.0,69.7,60.0
0.21,0.0,616.0,11.5,60.4,64.0,6.7,160.0,64.0,0.1
0.16,0.0,530.0,12.1,57.5,75.0,5.3,126.2,67.23368450150501,0.21
0.2,0.0,577.0,12.8,59.8,73.0,7.6,182.0,61.4,4.0
0.11,0.0,340.0,12.0,57.9,73.0,6.9,165.6,62.6,0.01
0.33,0.0,666.0,9.5,72.1,35.0,10.8,260.2,70.5,1.0
